Step 1 | Amt: 0.002 | Type: entry | Status: reset_cleared | Total: 0.0 | ID: CQB_10022_ENTRY_1_1773042295
Step 2 | Amt: 0.008 | Type: grid | Status: canceled | Total: 0.0 | ID: CQB_10022_GRID_2_1773042324
Step 1 | Amt: 0.002 | Type: entry | Status: reset_cleared | Total: 0.0 | ID: CQB_10022_ENTRY_1_1773042374
Step 2 | Amt: 0.008 | Type: grid | Status: reset_cleared | Total: 0.0 | ID: CQB_10022_GRID_2_1773042395
Step 3 | Amt: 0.015 | Type: grid | Status: canceled | Total: 0.0 | ID: CQB_10022_GRID_3_1773042578
Step 1 | Amt: 0.002 | Type: entry | Status: reset_cleared | Total: 0.0 | ID: CQB_10022_ENTRY_1_1773042722
Step 2 | Amt: 0.008 | Type: grid | Status: canceled | Total: 0.0 | ID: CQB_10022_GRID_2_1773042781
Step 1 | Amt: 0.002 | Type: entry | Status: reset_cleared | Total: 0.0 | ID: CQB_10022_ENTRY_1_1773042809
Step 2 | Amt: 0.008 | Type: grid | Status: canceled | Total: 0.0 | ID: CQB_10022_GRID_2_1773042816
Step 1 | Amt: 0.002 | Type: entry | Status: reset_cleared | Total: 0.0 | ID: CQB_10022_ENTRY_1_1773042938
Step 2 | Amt: 0.008 | Type: grid | Status: canceled | Total: 0.0 | ID: CQB_10022_GRID_2_1773042946
Step 1 | Amt: 0.002 | Type: entry | Status: reset_cleared | Total: 0.0 | ID: CQB_10022_ENTRY_1_1773043059
Step 2 | Amt: 0.008 | Type: grid | Status: canceled | Total: 0.0 | ID: CQB_10022_GRID_2_1773043067
Step 1 | Amt: 0.002 | Type: entry | Status: reset_cleared | Total: 0.0 | ID: CQB_10022_ENTRY_1_1773043102
Step 2 | Amt: 0.008 | Type: grid | Status: reset_cleared | Total: 0.0 | ID: CQB_10022_GRID_2_1773043117
Step 3 | Amt: 0.015 | Type: grid | Status: reset_cleared | Total: 0.0 | ID: CQB_10022_GRID_3_1773043195
Step 4 | Amt: 0.027 | Type: grid | Status: reset_cleared | Total: 0.0 | ID: CQB_10022_GRID_4_1773043309
Step 5 | Amt: 0.051 | Type: grid | Status: reset_cleared | Total: 0.0 | ID: CQB_10022_GRID_5_1773043761
Step 6 | Amt: 0.095 | Type: grid | Status: reset_cleared | Total: 0.0 | ID: CQB_10022_GRID_6_1773043783
Step 7 | Amt: 0.178 | Type: grid | Status: reset_cleared | Total: 0.0 | ID: CQB_10022_GRID_7_1773044620
Step 8 | Amt: 0.331 | Type: grid | Status: reset_cleared | Total: 0.0 | ID: CQB_10022_GRID_8_1773044662
Step 9 | Amt: 0.619 | Type: grid | Status: reset_cleared | Total: 0.0 | ID: CQB_10022_GRID_9_1773044910
Step 1 | Amt: 0.002 | Type: entry | Status: reset_cleared | Total: 0.0 | ID: CQB_10022_ENTRY_1_1773102183
Step 2 | Amt: 0.008 | Type: grid | Status: cancelled | Total: 0.0 | ID: CQB_10022_GRID_2_1773102190
Step 3 | Amt: 0.014 | Type: grid | Status: reset_cleared | Total: 0.0 | ID: CQB_10022_GRID_3_1773102312
Step 4 | Amt: 0.027 | Type: grid | Status: reset_cleared | Total: 0.0 | ID: CQB_10022_GRID_4_1773102355
Step 5 | Amt: 0.05 | Type: grid | Status: cancelled | Total: 0.0 | ID: CQB_10022_GRID_5_1773102433
Step 6 | Amt: 0.093 | Type: grid | Status: cancelled | Total: 0.0 | ID: CQB_10022_GRID_6_1773102457
Step 7 | Amt: 0.174 | Type: grid | Status: reset_cleared | Total: 0.0 | ID: CQB_10022_GRID_7_1773102514
Step 8 | Amt: 0.326 | Type: grid | Status: reset_cleared | Total: 0.0 | ID: CQB_10022_GRID_8_1773102543
Step 9 | Amt: 0.609 | Type: grid | Status: cancelled | Total: 0.0 | ID: CQB_10022_GRID_9_1773102571
Step 10 | Amt: 1.138 | Type: grid | Status: reset_cleared | Total: 0.0 | ID: CQB_10022_GRID_10_1773102600
Step 1 | Amt: 0.002 | Type: entry | Status: reset_cleared | Total: 0.0 | ID: CQB_10022_ENTRY_1_1773103057
Step 2 | Amt: 0.008 | Type: grid | Status: reset_cleared | Total: 0.0 | ID: CQB_10022_GRID_2_1773103071
Step 3 | Amt: 0.014 | Type: grid | Status: reset_cleared | Total: 0.0 | ID: CQB_10022_GRID_3_1773103588
Step 4 | Amt: 0.027 | Type: grid | Status: canceled | Total: 0.0 | ID: CQB_10022_GRID_4_1773103685
Step 1 | Amt: 0.002 | Type: entry | Status: cancelled | Total: 0.0 | ID: CQB_10022_ENTRY_1_1773108261
Step 2 | Amt: 0.008 | Type: grid | Status: cancelled | Total: 0.0 | ID: CQB_10022_GRID_2_1773109253
Step 3 | Amt: 0.014 | Type: grid | Status: cancelled | Total: 0.0 | ID: CQB_10022_GRID_3_1773109729
Step 4 | Amt: 0.026 | Type: grid | Status: cancelled | Total: 0.0 | ID: CQB_10022_GRID_4_1773109744
