
==== AUDIT: short sol (Bot 100001) ====
Trades table: Cycle 15, Phase: IDLE, Invested: 10.3454
  [reset_cleared] tp | 0.0/0.13 @ 88.86 | CID: CQB_100001_TP_1_1773893671199
  [reset_cleared] entry | 0.11/0.11 @ 91.48 | CID: CQB_100001_ENTRY_1_1774410674030
  [reset_cleared] grid | 0.14/0.39 @ 91.76 | CID: CQB_100001_GRID_2_1774410703855
  [reset_cleared] tp | 0.0/0.25 @ 90.12 | CID: CQB_100001_TP_2_1774411001700
  [reset_cleared] grid | 0.72/0.72 @ 91.89 | CID: CQB_100001_GRID_3_1774411001949
  [reset_cleared] tp | 0.0/0.25 @ 90.61004000000001 | CID: CQB_100001_TP_2_1774411010019
  [reset_cleared] tp | 0.0/0.25 @ 90.75672000000002 | CID: CQB_100001_TP_2_1774411837369
  [reset_cleared] tp | 0.0/0.25 @ 90.9034 | CID: CQB_100001_TP_2_1774412735194
  [reset_cleared] tp | 0.0/0.25 @ 91.05008000000001 | CID: CQB_100001_TP_2_1774413634118
  [reset_cleared] tp | 0.0/0.25 @ 91.19676000000001 | CID: CQB_100001_TP_2_1774414538419
  [reset_cleared] tp | 0.0/0.97 @ 90.36 | CID: CQB_100001_TP_3_1774414735310
  [new] grid | 0.0/1.36 @ 92.14 | CID: CQB_100001_GRID_4_1774414735623
  [reset_cleared] tp | 0.0/0.97 @ 91.38531958762887 | CID: CQB_100001_TP_3_1774414742471
  [reset_cleared] adoption_add | 1.36/1.36 @ 92.01442060085 | CID: CQB_100001_SURPLUS_1774415341
  [reset_cleared] adoption_add | 2.33/2.33 @ 92.01442060085 | CID: CQB_100001_SURPLUS_1774415364
  [reset_cleared] tp | 0.0/2.33 @ 90.5 | CID: CQB_100001_TP_5_1774415390221
  [reset_cleared] grid | 0.0/50.11 @ 93.01 | CID: CQB_100001_GRID_6_1774415390467
  [reset_cleared] tp | 0.0/4.66 @ 90.5 | CID: CQB_100001_TP_5_1774415392609
  [reset_cleared] adoption_reduce | 2.3300000000869803/2.3300000000869803 @ 92.01442060085 | CID: CQB_100001_SHRINK_1774415407
  [reset_cleared] tp | 0.0/2.33 @ 90.54 | CID: CQB_100001_TP_5_1774415412191
  [reset_cleared] tp | 0.0/4.66 @ 90.5 | CID: CQB_100001_TP_5_1774415601512
  [reset_cleared] adoption_add | 2.3300000001739605/2.3300000001739605 @ 91.9749382 | CID: CQB_100001_HEAL_1774416168837
